NOME;FASE;TURMA;INSTITUICAO_ENSINO_ALUNO;SINALIZADOR_INGRESSANTE;PEDRA;INDE;IAA;IEG;IPS;IDA;IPP;REC_EQUIPE_1;REC_EQUIPE_2;REC_EQUIPE_3;REC_EQUIPE_4;PONTO_VIRADA;IPV;IAN;NIVEL_IDEAL;DEFASAGEM;ANO
ALUNO-221;3.0;A;Escola Pública;Ingressante;Quartzo;4.442;9.2;2.8;7.5;1.8;5.8;Mantido na Fase atual;Promovido de Fase;Mantido na Fase atual;Não avaliado;Não;3.9;5.0;Nível 4 (9o ano);-1.0;2021
ALUNO-225;5.0;B;Rede Decisão;Veterano;Ametista;7.138;8.3;6.7;6.9;6.0;7.5;Promovido de Fase;Mantido na Fase atual;Promovido de Fase + Bolsa;Mantido na Fase atual;Não;6.7;10.0;Nível 5 (1o EM);0.0;2021
ALUNO-226;2.0;G;Rede Decisão;Veterano;Quartzo;4.617;0.0;4.2;5.6;4.3;7.1;Mantido na Fase atual;Mantido na Fase atual;Mantido na Fase atual;Não avaliado;Não;5.8;5.0;Nível 3 (7o e 8o ano);-1.0;2021
ALUNO-229;0.0;Q;Escola Pública;Ingressante;Quartzo;5.054;8.5;0.0;7.5;4.0;6.9;Não avaliado;Mantido na Fase atual;Não avaliado;Não avaliado;Não;7.3;5.0;Nível 2 (5o e 6o ano);-2.0;2021
ALUNO-231;7.0;A;Escola Pública;Veterano;Ametista;7.698;9.2;8.6;6.9;5.4;8.0;Mantido na Fase atual;Promovido de Fase + Bolsa;Promovido de Fase + Bolsa;Mantido na Fase + Bolsa;Não;7.5;10.0;Nível 7 (3o EM);0.0;2021
ALUNO-232;5.0;B;Escola Pública;Ingressante;Ametista;7.331;8.3;7.2;7.5;6.7;8.3;Promovido de Fase + Bolsa;Mantido na Fase atual;Promovido de Fase + Bolsa;Promovido de Fase;Não;8.2;5.0;Nível 6 (2o EM);-1.0;2021
ALUNO-235;3.0;B;Rede Decisão;Veterano;Ametista;7.544;9.2;6.9;5.6;6.6;7.3;Promovido de Fase + Bolsa;Mantido na Fase atual;Promovido de Fase;Não avaliado;Não;8.1;10.0;Nível 3 (7o e 8o ano);0.0;2021
ALUNO-238;2.0;H;Escola Pública;Veterano;Quartzo;3.663;8.5;1.3;4.4;2.1;5.0;Mantido na Fase atual;Não avaliado;Não avaliado;Não avaliado;Não;3.5;5.0;Nível 4 (9o ano);-2.0;2021
ALUNO-240;3.0;D;Escola Pública;Ingressante;Ametista;7.629;8.8;6.1;7.5;6.9;7.3;Promovido de Fase;Mantido na Fase atual;Mantido na Fase atual;Não avaliado;Não;8.4;10.0;Nível 3 (7o e 8o ano);0.0;2021
ALUNO-241;2.0;I;Escola Pública;Veterano;Quartzo;2.86;7.9;0.4;5.6;0.0;4.1;Alocado em Fase anterior;Mantido na Fase atual;Não avaliado;Não avaliado;Não;2.6;5.0;Nível 3 (7o e 8o ano);-1.0;2021
ALUNO-242;2.0;I;Escola Pública;Veterano;Ágata;5.833;8.5;5.4;7.5;2.9;7.1;Mantido na Fase atual;Mantido na Fase atual;Mantido na Fase atual;Não avaliado;Não;6.8;5.0;Nível 3 (7o e 8o ano);-1.0;2021
ALUNO-243;0.0;O;Escola Pública;Ingressante;Ágata;6.354;8.5;5.0;7.5;3.2;7.5;Mantido na Fase atual;Mantido na Fase atual;Não avaliado;Não avaliado;Não;6.8;10.0;ALFA  (2o e 3o ano);0.0;2021
ALUNO-246;1.0;R;Escola Pública;Veterano;Ametista;7.013;9.0;8.8;5.6;4.6;8.5;Mantido na Fase atual;Mantido na Fase atual;Promovido de Fase;Não avaliado;Não;7.7;5.0;Nível 2 (5o e 6o ano);-1.0;2021
ALUNO-247;0.0;T;Escola Pública;Ingressante;Ametista;8.013;10.0;8.3;7.5;6.8;8.1;Promovido de Fase;Promovido de Fase;Não avaliado;Não avaliado;Sim;9.7;5.0;Nível 1 (4o ano);-1.0;2021
ALUNO-249;1.0;B;Escola Pública;Ingressante;Ágata;6.025;8.5;7.9;7.5;2.1;7.5;Promovido de Fase;Mantido na Fase atual;Mantido na Fase atual;Não avaliado;Não;5.8;5.0;Nível 2 (5o e 6o ano);-1.0;2021
ALUNO-251;2.0;N;Escola Pública;Veterano;Ametista;7.976;9.0;6.7;7.5;7.3;8.5;Promovido de Fase;Promovido de Fase;Mantido na Fase atual;Não avaliado;Não;8.4;10.0;Nível 2 (5o e 6o ano);0.0;2021
ALUNO-252;0.0;M;Escola Pública;Ingressante;Ametista;7.473;10.0;10.0;7.5;5.9;7.2;Mantido na Fase atual;Mantido na Fase atual;Não avaliado;Não avaliado;Não;6.6;5.0;Nível 1 (4o ano);-1.0;2021
ALUNO-258;0.0;Q;Escola Pública;Ingressante;Ágata;6.283;7.8;10.0;7.5;5.3;2.5;Alocado em Fase anterior;Mantido na Fase atual;Não avaliado;Não avaliado;Não;4.8;5.0;Nível 1 (4o ano);-1.0;2021
ALUNO-260;0.0;Q;Escola Pública;Ingressante;Ágata;6.75;9.5;6.7;7.5;4.5;7.5;Mantido na Fase atual;Mantido na Fase atual;Não avaliado;Não avaliado;Não;7.8;5.0;Nível 1 (4o ano);-1.0;2021
ALUNO-261;4.0;A;Escola Pública;Veterano;Ametista;6.899;9.2;7.8;7.5;5.9;8.4;Promovido de Fase + Bolsa;Promovido de Fase;Promovido de Fase;Promovido de Fase;Não;7.0;2.5;Nível 8 (Universitários);-4.0;2021
ALUNO-262;6.0;C;Rede Decisão;Veterano;Ametista;7.903;9.2;6.9;7.5;7.7;7.8;Mantido na Fase atual;Promovido de Fase;Promovido de Fase + Bolsa;Promovido de Fase;Não;7.7;10.0;Nível 6 (2o EM);0.0;2021
ALUNO-263;6.0;A;Rede Decisão;Veterano;Ametista;7.694;7.9;7.8;7.5;6.5;8.0;Promovido de Fase;Promovido de Fase;Promovido de Fase + Bolsa;Promovido de Fase;Não;7.5;10.0;Nível 6 (2o EM);0.0;2021
ALUNO-266;2.0;B;Escola Pública;Veterano;Ametista;7.892;9.0;8.3;6.3;6.8;7.5;Mantido na Fase atual;Promovido de Fase;Mantido na Fase atual;Não avaliado;Não;8.0;10.0;Nível 2 (5o e 6o ano);0.0;2021
ALUNO-267;4.0;G;Rede Decisão;Ingressante;Ametista;8.014;9.2;8.9;6.3;8.2;8.3;Promovido de Fase + Bolsa;Promovido de Fase + Bolsa;Promovido de Fase + Bolsa;Promovido de Fase;Não;8.6;5.0;Nível 5 (1o EM);-1.0;2021
ALUNO-271;3.0;J;Escola Pública;Ingressante;Ágata;6.429;9.6;5.0;7.5;4.3;7.7;Mantido na Fase atual;Promovido de Fase;Mantido na Fase atual;Não avaliado;Não;5.5;10.0;Nível 3 (7o e 8o ano);0.0;2021
ALUNO-273;1.0;R;Escola Pública;Veterano;Quartzo;4.125;9.5;2.1;7.5;0.0;6.3;Mantido na Fase atual;Mantido na Fase atual;Mantido na Fase atual;Não avaliado;Não;4.4;5.0;Nível 2 (5o e 6o ano);-1.0;2021
ALUNO-274;5.0;A;Escola Pública;Veterano;Ágata;6.88;7.1;7.8;7.5;6.1;7.7;Promovido de Fase;Promovido de Fase + Bolsa;Promovido de Fase + Bolsa;Promovido de Fase;Não;6.9;5.0;Nível 7 (3o EM);-2.0;2021
ALUNO-275;3.0;M;Escola Pública;Veterano;Ágata;5.815;8.8;5.8;6.3;3.4;6.9;Promovido de Fase;Mantido na Fase atual;Mantido na Fase atual;Não avaliado;Não;6.4;5.0;Nível 4 (9o ano);-1.0;2021
ALUNO-277;1.0;E;Escola Pública;Veterano;Ametista;8.183;9.5;10.0;7.5;7.8;8.5;Promovido de Fase;Promovido de Fase;Promovido de Fase;Não avaliado;Não;7.8;5.0;Nível 3 (7o e 8o ano);-2.0;2021
ALUNO-282;5.0;B;Escola Pública;Ingressante;Topázio;8.544;9.2;9.7;7.5;8.8;8.8;Promovido de Fase + Bolsa;Promovido de Fase + Bolsa;Promovido de Fase + Bolsa;Promovido de Fase + Bolsa;Sim;9.0;5.0;Nível 6 (2o EM);-1.0;2021
ALUNO-283;5.0;A;Escola Pública;Ingressante;Topázio;8.531;8.8;9.4;7.5;8.7;8.8;Promovido de Fase + Bolsa;Promovido de Fase + Bolsa;Promovido de Fase + Bolsa;Promovido de Fase;Sim;9.5;5.0;Nível 6 (2o EM);-1.0;2021
ALUNO-288;3.0;B;Rede Decisão;Veterano;Ametista;8.088;8.3;7.5;7.5;7.7;7.3;Promovido de Fase;Mantido na Fase atual;Promovido de Fase;Não avaliado;Não;8.7;10.0;Nível 3 (7o e 8o ano);0.0;2021
ALUNO-293;5.0;F;Escola Pública;Veterano;Quartzo;3.08;0.0;3.9;0.0;0.0;5.9;Mantido na Fase atual;Mantido na Fase atual;Promovido de Fase;Mantido na Fase atual;Não;3.5;10.0;Nível 5 (1o EM);0.0;2021
ALUNO-294;0.0;K;Escola Pública;Ingressante;Topázio;8.994;9.5;10.0;7.5;7.3;8.4;Mantido na Fase + Bolsa;Mantido na Fase + Bolsa;Não avaliado;Não avaliado;Sim;10.0;10.0;ALFA  (2o e 3o ano);0.0;2021
ALUNO-295;1.0;A;Escola Pública;Veterano;Ágata;6.771;9.0;7.1;7.5;6.9;7.5;Promovido de Fase;Mantido na Fase atual;Mantido na Fase atual;Não avaliado;Não;5.3;5.0;Nível 2 (5o e 6o ano);-1.0;2021
ALUNO-296;2.0;B;Escola Pública;Veterano;Ametista;7.221;9.5;7.9;7.5;3.6;7.3;Mantido na Fase atual;Mantido na Fase atual;Mantido na Fase atual;Não avaliado;Não;7.4;10.0;Nível 2 (5o e 6o ano);0.0;2021
ALUNO-297;3.0;J;Escola Pública;Veterano;Quartzo;4.894;8.8;3.3;5.6;2.8;7.7;Mantido na Fase atual;Promovido de Fase + Bolsa;Promovido de Fase;Não avaliado;Não;6.1;2.5;Nível 6 (2o EM);-3.0;2021
ALUNO-301;2.0;J;Escola Pública;Veterano;Topázio;8.289;9.0;9.2;7.5;6.3;8.5;Mantido na Fase + Bolsa;Promovido de Fase;Mantido na Fase atual;Não avaliado;Não;8.4;10.0;Nível 2 (5o e 6o ano);0.0;2021
ALUNO-303;0.0;M;Escola Pública;Ingressante;Ametista;7.767;8.5;8.3;7.5;6.8;7.5;Mantido na Fase atual;Mantido na Fase atual;Não avaliado;Não avaliado;Não;7.0;10.0;ALFA  (2o e 3o ano);0.0;2021
ALUNO-305;3.0;J;Rede Decisão;Veterano;Ametista;7.315;7.9;7.8;5.6;7.5;7.5;Promovido de Fase + Bolsa;Promovido de Fase;Mantido na Fase atual;Não avaliado;Não;8.3;5.0;Nível 4 (9o ano);-1.0;2021
ALUNO-310;0.0;L;Escola Pública;Ingressante;Ametista;7.165;9.0;8.3;7.5;4.6;6.6;Mantido na Fase atual;Mantido na Fase atual;Não avaliado;Não avaliado;Não;6.3;10.0;ALFA  (2o e 3o ano);0.0;2021
ALUNO-312;2.0;J;Rede Decisão;Veterano;Ametista;7.946;9.0;9.6;4.4;7.8;8.8;Mantido na Fase atual;Promovido de Fase;Promovido de Fase;Não avaliado;Não;8.8;5.0;Nível 3 (7o e 8o ano);-1.0;2021
ALUNO-313;0.0;P;Escola Pública;Veterano;Ametista;7.375;9.5;8.3;5.0;6.3;8.1;Promovido de Fase;Mantido na Fase atual;Não avaliado;Não avaliado;Não;8.4;5.0;Nível 2 (5o e 6o ano);-2.0;2021
ALUNO-315;5.0;A;Rede Decisão;Veterano;Topázio;8.909;8.8;9.2;7.5;8.2;8.6;Promovido de Fase + Bolsa;Promovido de Fase + Bolsa;Promovido de Fase + Bolsa;Promovido de Fase;Sim;9.8;10.0;Nível 4 (9o ano);1.0;2021
ALUNO-319;2.0;B;Escola Pública;Veterano;Ametista;7.821;7.5;9.6;6.9;8.2;7.3;Promovido de Fase;Promovido de Fase;Promovido de Fase;Não avaliado;Não;8.0;5.0;Nível 3 (7o e 8o ano);-1.0;2021
ALUNO-321;7.0;A;Rede Decisão;Veterano;Ametista;7.891;8.3;7.5;5.6;7.6;8.3;Promovido de Fase + Bolsa;Promovido de Fase + Bolsa;Promovido de Fase + Bolsa;Promovido de Fase + Bolsa;Não;8.3;10.0;Nível 7 (3o EM);0.0;2021
ALUNO-323;1.0;B;Rede Decisão;Veterano;Quartzo;4.976;7.4;7.1;4.4;3.3;3.8;Mantido na Fase atual;Mantido na Fase atual;Mantido na Fase atual;Não avaliado;Não;4.3;5.0;Nível 3 (7o e 8o ano);-2.0;2021
ALUNO-324;7.0;A;Rede Decisão;Veterano;Topázio;8.252;8.3;8.1;6.9;7.9;8.3;Promovido de Fase + Bolsa;Promovido de Fase + Bolsa;Promovido de Fase + Bolsa;Promovido de Fase + Bolsa;Não;8.6;10.0;Nível 7 (3o EM);0.0;2021
ALUNO-331;0.0;R;Escola Pública;Ingressante;Topázio;8.923;9.0;10.0;7.5;7.3;8.4;Promovido de Fase + Bolsa;Promovido de Fase + Bolsa;Não avaliado;Não avaliado;Sim;9.8;10.0;ALFA  (2o e 3o ano);0.0;2021
ALUNO-332;1.0;G;Escola Pública;Veterano;Topázio;8.342;9.0;9.6;7.5;7.4;8.3;Promovido de Fase;Mantido na Fase atual;Promovido de Fase;Não avaliado;Sim;9.8;5.0;Nível 2 (5o e 6o ano);-1.0;2021
ALUNO-336;0.0;I;Escola Pública;Veterano;Ametista;7.533;9.0;10.0;6.3;6.9;7.5;Mantido na Fase atual;Mantido na Fase atual;Não avaliado;Não avaliado;Não;6.9;5.0;Nível 1 (4o ano);-1.0;2021
ALUNO-337;5.0;B;Rede Decisão;Veterano;Ametista;7.661;7.5;8.1;7.5;7.3;8.8;Promovido de Fase + Bolsa;Promovido de Fase + Bolsa;Promovido de Fase + Bolsa;Promovido de Fase;Não;8.5;5.0;Nível 6 (2o EM);-1.0;2021
ALUNO-339;3.0;C;Escola Pública;Veterano;Ametista;7.676;8.8;8.1;7.5;6.2;8.5;Promovido de Fase;Promovido de Fase + Bolsa;Mantido na Fase atual;Não avaliado;Sim;9.2;5.0;Nível 5 (1o EM);-2.0;2021
ALUNO-340;3.0;C;Escola Pública;Veterano;Ametista;7.8;8.8;8.1;7.5;7.0;8.3;Promovido de Fase;Promovido de Fase + Bolsa;Mantido na Fase atual;Não avaliado;Sim;9.1;5.0;Nível 5 (1o EM);-2.0;2021
ALUNO-342;2.0;B;Rede Decisão;Veterano;Ametista;7.392;8.5;6.7;7.5;7.6;7.5;Promovido de Fase;Promovido de Fase;Promovido de Fase;Não avaliado;Não;8.4;5.0;Nível 3 (7o e 8o ano);-1.0;2021
ALUNO-343;5.0;L;Escola Pública;Veterano;Ametista;7.07;8.3;8.1;6.9;6.0;8.0;Promovido de Fase + Bolsa;Mantido na Fase atual;Promovido de Fase + Bolsa;Mantido na Fase atual;Não;7.2;5.0;Nível 7 (3o EM);-2.0;2021
ALUNO-345;1.0;F;Escola Pública;Veterano;Ágata;6.764;9.5;5.0;7.5;4.2;7.7;Mantido na Fase atual;Mantido na Fase atual;Mantido na Fase atual;Não avaliado;Não;7.3;10.0;Nível 1 (4o ano);0.0;2021
ALUNO-346;1.0;A;Escola Pública;Veterano;Quartzo;4.925;7.9;3.8;7.5;0.0;7.5;Mantido na Fase atual;Mantido na Fase atual;Não avaliado;Não avaliado;Não;4.4;10.0;Nível 1 (4o ano);0.0;2021
ALUNO-348;1.0;F;Escola Pública;Veterano;Ametista;7.558;10.0;8.8;7.5;6.4;7.7;Promovido de Fase;Mantido na Fase atual;Mantido na Fase atual;Não avaliado;Não;7.5;5.0;Nível 2 (5o e 6o ano);-1.0;2021
ALUNO-349;1.0;C;Escola Pública;Veterano;Quartzo;4.414;8.0;3.3;7.5;0.4;6.9;Mantido na Fase atual;Mantido na Fase atual;Mantido na Fase atual;Não avaliado;Não;4.6;5.0;Nível 2 (5o e 6o ano);-1.0;2021
ALUNO-352;4.0;F;Escola Pública;Ingressante;Ágata;5.783;7.5;3.6;7.5;3.5;7.2;Promovido de Fase;Promovido de Fase;Promovido de Fase;Mantido na Fase atual;Não;5.7;10.0;Nível 4 (9o ano);0.0;2021
ALUNO-357;3.0;M;Escola Pública;Ingressante;Ágata;6.854;8.3;5.3;7.5;5.9;7.3;Promovido de Fase;Mantido na Fase atual;Mantido na Fase atual;Não avaliado;Não;6.6;10.0;Nível 3 (7o e 8o ano);0.0;2021
ALUNO-359;2.0;E;Escola Pública;Veterano;Ametista;7.326;8.0;5.0;7.5;8.0;8.5;Promovido de Fase;Promovido de Fase;Promovido de Fase;Não avaliado;Sim;9.1;5.0;Nível 3 (7o e 8o ano);-1.0;2021
ALUNO-363;0.0;O;Escola Pública;Ingressante;Ametista;8.231;10.0;8.3;7.5;6.5;7.8;Mantido na Fase atual;Mantido na Fase atual;Não avaliado;Não avaliado;Não;8.7;10.0;ALFA  (2o e 3o ano);0.0;2021
ALUNO-364;2.0;A;Escola Pública;Veterano;Ágata;6.306;0.0;7.5;4.4;4.7;7.1;Mantido na Fase atual;Promovido de Fase;Mantido na Fase atual;Não avaliado;Não;8.6;10.0;Nível 2 (5o e 6o ano);0.0;2021
ALUNO-365;6.0;C;Rede Decisão;Veterano;Ametista;7.376;9.2;6.9;5.0;6.5;6.9;Mantido na Fase atual;Promovido de Fase;Promovido de Fase + Bolsa;Promovido de Fase;Não;7.9;10.0;Nível 6 (2o EM);0.0;2021
ALUNO-367;4.0;F;Escola Pública;Veterano;Ágata;6.392;7.9;4.4;7.5;4.8;7.0;Promovido de Fase;Mantido na Fase atual;Promovido de Fase;Mantido na Fase atual;Não;6.5;10.0;Nível 4 (9o ano);0.0;2021
ALUNO-370;3.0;G;Escola Pública;Veterano;Ametista;8.196;7.9;8.9;6.3;9.1;9.0;Promovido de Fase + Bolsa;Promovido de Fase + Bolsa;Promovido de Fase;Não avaliado;Não;8.9;5.0;Nível 4 (9o ano);-1.0;2021
ALUNO-372;2.0;E;Escola Pública;Veterano;Ágata;6.36;8.0;5.4;7.5;4.9;7.5;Promovido de Fase;Mantido na Fase atual;Promovido de Fase;Não avaliado;Não;7.4;5.0;Nível 3 (7o e 8o ano);-1.0;2021
ALUNO-373;4.0;L;Escola Pública;Veterano;Quartzo;4.712;9.2;4.4;5.6;1.5;7.2;Promovido de Fase;Mantido na Fase atual;Promovido de Fase;Mantido na Fase atual;Não;4.2;5.0;Nível 5 (1o EM);-1.0;2021
ALUNO-374;7.0;A;Escola Pública;Ingressante;Topázio;8.276;9.6;9.4;7.5;6.4;8.1;Promovido de Fase + Bolsa;Promovido de Fase + Bolsa;Promovido de Fase + Bolsa;Promovido de Fase + Bolsa;Não;7.9;10.0;ERRO;0.0;2021
ALUNO-375;2.0;B;Rede Decisão;Veterano;Topázio;8.858;9.5;10.0;7.5;8.1;7.5;Promovido de Fase;Promovido de Fase;Promovido de Fase;Não avaliado;Não;8.9;10.0;Nível 2 (5o e 6o ano);0.0;2021
ALUNO-376;4.0;A;Escola Pública;Ingressante;Quartzo;5.216;8.8;5.8;0.0;3.9;7.7;Promovido de Fase + Bolsa;Mantido na Fase atual;Promovido de Fase;Mantido na Fase atual;Não;5.7;5.0;Nível 6 (2o EM);-2.0;2021
ALUNO-377;3.0;G;Rede Decisão;Veterano;Ametista;7.11;8.8;7.5;5.6;4.2;7.5;Promovido de Fase;Promovido de Fase;Mantido na Fase atual;Não avaliado;Não;7.9;10.0;Nível 3 (7o e 8o ano);0.0;2021
ALUNO-378;6.0;C;Rede Decisão;Veterano;Ametista;7.441;6.7;7.8;4.4;7.7;7.8;Promovido de Fase;Promovido de Fase;Promovido de Fase + Bolsa;Promovido de Fase;Não;7.3;10.0;Nível 6 (2o EM);0.0;2021
ALUNO-379;4.0;E;Escola Pública;Veterano;Quartzo;4.151;10.0;2.8;5.0;1.7;5.6;Mantido na Fase atual;Mantido na Fase atual;Mantido na Fase atual;Alocado em Fase anterior;Não;3.5;5.0;Nível 5 (1o EM);-1.0;2021
ALUNO-381;0.0;I;Escola Pública;Veterano;Ametista;7.052;9.5;8.3;6.3;6.1;7.8;Mantido na Fase atual;Mantido na Fase atual;Não avaliado;Não avaliado;Não;6.6;5.0;Nível 2 (5o e 6o ano);-2.0;2021
ALUNO-383;0.0;R;Escola Pública;Ingressante;Ametista;6.915;9.5;5.8;7.5;6.3;7.2;Promovido de Fase;Mantido na Fase atual;Não avaliado;Não avaliado;Não;7.8;5.0;Nível 2 (5o e 6o ano);-2.0;2021
ALUNO-384;1.0;C;Escola Pública;Ingressante;Ametista;7.418;8.5;9.2;8.8;3.6;8.1;Promovido de Fase;Promovido de Fase;Mantido na Fase + Bolsa;Não avaliado;Sim;9.1;5.0;Nível 2 (5o e 6o ano);-1.0;2021
ALUNO-385;3.0;M;Escola Pública;Veterano;Quartzo;5.435;8.8;3.9;7.5;2.6;7.3;Mantido na Fase atual;Mantido na Fase atual;Mantido na Fase atual;Não avaliado;Não;6.4;5.0;Nível 5 (1o EM);-2.0;2021
ALUNO-387;3.0;R;Escola Pública;Veterano;Ágata;6.19;7.9;5.8;5.0;6.6;7.3;Promovido de Fase;Promovido de Fase;Mantido na Fase atual;Não avaliado;Não;5.9;5.0;Nível 4 (9o ano);-1.0;2021
ALUNO-388;2.0;C;Escola Pública;Veterano;Ágata;6.007;9.5;3.8;7.5;3.8;7.5;Mantido na Fase atual;Mantido na Fase atual;Mantido na Fase atual;Não avaliado;Não;7.7;5.0;Nível 3 (7o e 8o ano);-1.0;2021
ALUNO-389;6.0;A;Rede Decisão;Veterano;Ametista;8.201;8.3;8.6;6.3;9.0;9.4;Promovido de Fase + Bolsa;Promovido de Fase + Bolsa;Promovido de Fase + Bolsa;Promovido de Fase;Não;8.9;5.0;Nível 7 (3o EM);-1.0;2021
ALUNO-393;2.0;F;Escola Pública;Veterano;Ametista;7.26;9.0;6.7;7.5;7.4;8.1;Promovido de Fase;Promovido de Fase;Mantido na Fase atual;Não avaliado;Não;7.4;5.0;Nível 3 (7o e 8o ano);-1.0;2021
ALUNO-394;4.0;F;Rede Decisão;Veterano;Ágata;6.053;7.1;5.3;6.9;5.2;7.2;Promovido de Fase;Promovido de Fase;Promovido de Fase;Promovido de Fase;Não;6.7;5.0;Nível 6 (2o EM);-2.0;2021
ALUNO-396;5.0;A;Escola Pública;Veterano;Ametista;7.593;7.9;8.1;7.5;7.2;7.7;Promovido de Fase;Promovido de Fase + Bolsa;Promovido de Fase + Bolsa;Mantido na Fase atual;Não;8.7;5.0;Nível 6 (2o EM);-1.0;2021
ALUNO-397;3.0;B;Rede Decisão;Veterano;Quartzo;4.257;6.7;2.8;3.1;2.5;4.6;Mantido na Fase atual;Mantido na Fase atual;Mantido na Fase atual;Não avaliado;Não;3.8;10.0;Nível 3 (7o e 8o ano);0.0;2021
ALUNO-400;1.0;C;Escola Pública;Veterano;Quartzo;3.729;0.0;3.3;5.6;1.2;7.3;Mantido na Fase atual;Mantido na Fase atual;Mantido na Fase atual;Não avaliado;Não;5.2;5.0;Nível 2 (5o e 6o ano);-1.0;2021
ALUNO-403;3.0;D;Escola Pública;Ingressante;Ametista;7.878;9.2;7.2;7.5;6.4;7.9;Promovido de Fase;Promovido de Fase;Mantido na Fase atual;Não avaliado;Não;8.5;10.0;Nível 3 (7o e 8o ano);0.0;2021
ALUNO-404;4.0;G;Rede Decisão;Veterano;Topázio;8.499;8.8;9.2;7.5;7.4;8.9;Promovido de Fase + Bolsa;Promovido de Fase;Promovido de Fase + Bolsa;Promovido de Fase;Não;8.3;10.0;Nível 4 (9o ano);0.0;2021
ALUNO-405;0.0;S;Escola Pública;Ingressante;Ametista;7.767;8.5;8.3;7.5;6.0;7.5;Mantido na Fase atual;Mantido na Fase atual;Não avaliado;Não avaliado;Não;7.8;10.0;ALFA  (2o e 3o ano);0.0;2021
ALUNO-406;1.0;A;Escola Pública;Veterano;Ágata;6.868;9.0;8.3;6.9;6.4;7.5;Mantido na Fase atual;Mantido na Fase atual;Mantido na Fase atual;Não avaliado;Não;5.4;5.0;Nível 2 (5o e 6o ano);-1.0;2021
ALUNO-407;4.0;G;Rede Decisão;Veterano;Topázio;8.475;8.3;8.9;7.5;6.6;9.2;Promovido de Fase + Bolsa;Promovido de Fase + Bolsa;Promovido de Fase + Bolsa;Promovido de Fase;Sim;9.4;10.0;Nível 4 (9o ano);0.0;2021
ALUNO-408;1.0;C;Escola Pública;Veterano;Topázio;8.699;9.0;9.2;8.8;7.2;8.8;Promovido de Fase;Promovido de Fase;Mantido na Fase atual;Não avaliado;Não;8.9;10.0;Nível 1 (4o ano);0.0;2021
ALUNO-416;2.0;H;Escola Pública;Veterano;Ametista;7.349;9.0;8.8;4.4;6.9;7.3;Mantido na Fase atual;Promovido de Fase;Promovido de Fase;Não avaliado;Não;8.2;5.0;Nível 4 (9o ano);-2.0;2021
ALUNO-421;4.0;F;Escola Pública;Veterano;Ágata;6.624;9.2;5.8;7.5;5.8;7.7;Promovido de Fase;Promovido de Fase;Promovido de Fase;Promovido de Fase;Não;6.9;5.0;Nível 6 (2o EM);-2.0;2021
ALUNO-422;0.0;Q;Escola Pública;Ingressante;Ametista;7.965;9.0;10.0;7.5;7.2;8.4;Promovido de Fase;Mantido na Fase atual;Não avaliado;Não avaliado;Não;7.7;5.0;Nível 2 (5o e 6o ano);-2.0;2021
ALUNO-423;5.0;F;Escola Pública;Ingressante;Quartzo;3.146;0.0;1.7;5.0;1.5;6.9;Mantido na Fase atual;Mantido na Fase atual;Promovido de Fase;Não avaliado;Não;4.2;5.0;Nível 7 (3o EM);-2.0;2021
ALUNO-424;2.0;I;Escola Pública;Veterano;Ágata;5.99;9.0;5.0;7.5;4.5;7.3;Mantido na Fase atual;Promovido de Fase;Mantido na Fase atual;Não avaliado;Não;6.1;5.0;Nível 3 (7o e 8o ano);-1.0;2021
ALUNO-425;3.0;F;Escola Pública;Veterano;Ágata;6.642;9.2;6.4;7.5;5.5;7.1;Promovido de Fase + Bolsa;Promovido de Fase;Mantido na Fase atual;Não avaliado;Não;6.9;5.0;Nível 4 (9o ano);-1.0;2021
ALUNO-432;0.0;I;Escola Pública;Veterano;Quartzo;4.946;9.0;6.7;5.0;2.6;2.5;Mantido na Fase atual;Mantido na Fase atual;Não avaliado;Não avaliado;Não;4.8;5.0;Nível 2 (5o e 6o ano);-2.0;2021
ALUNO-435;5.0;B;Escola Pública;Veterano;Quartzo;4.169;6.7;4.7;0.0;3.0;7.5;Mantido na Fase atual;Mantido na Fase atual;Não avaliado;Promovido de Fase;Não;3.5;5.0;Nível 7 (3o EM);-2.0;2021
ALUNO-436;2.0;J;Escola Pública;Ingressante;Ametista;7.743;9.5;8.8;7.5;6.3;8.5;Mantido na Fase atual;Promovido de Fase;Mantido na Fase atual;Não avaliado;Não;8.4;5.0;Nível 3 (7o e 8o ano);-1.0;2021
ALUNO-437;2.0;P;Escola Pública;Veterano;Ágata;6.482;8.5;5.0;7.5;4.0;7.7;Mantido na Fase atual;Mantido na Fase atual;Mantido na Fase atual;Não avaliado;Não;6.6;10.0;Nível 2 (5o e 6o ano);0.0;2021
ALUNO-438;5.0;B;Escola Pública;Ingressante;Ágata;5.756;9.2;5.3;7.5;2.8;7.5;Promovido de Fase;Mantido na Fase atual;Promovido de Fase + Bolsa;Mantido na Fase atual;Não;6.1;5.0;Nível 7 (3o EM);-2.0;2021
ALUNO-440;5.0;B;Escola Pública;Ingressante;Ametista;7.382;8.3;8.1;7.5;6.7;8.1;Promovido de Fase;Mantido na Fase atual;Promovido de Fase + Bolsa;Promovido de Fase;Não;7.7;5.0;Nível 6 (2o EM);-1.0;2021
ALUNO-441;2.0;R;Escola Pública;Veterano;Ametista;7.571;9.0;7.9;6.3;7.8;8.1;Promovido de Fase;Promovido de Fase;Promovido de Fase;Não avaliado;Não;8.0;5.0;Nível 3 (7o e 8o ano);-1.0;2021
